             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
              fx60126.dat,   114.938684504,       11.50, 0000 
             fx601261.dat,   116.666666667,       10.75, 0000 
              fx60157.dat,   103.090909091,       16.25, 0000 
              fx60160.dat,   111.568627451,       15.50, 0000 
              fx60177.dat,    99.811320755,       15.50, 0000 
              fx61140.dat,   115.643153527,        7.75, 0000 
              fx61147.dat,   119.279187817,        8.75, 0000 
              fx61163.dat,   122.724288840,        9.00, 0000 
              fx61168.dat,   128.473282443,        9.00, 0000 
              fx61184.dat,   126.832579186,       13.00, 0000 
             fx62k131.dat,   131.305031447,        7.00, 0000 
             fx62k153.dat,   155.666199158,       14.50, 0000 
              fx63100.dat,   130.703812317,       13.50, 0000 
              fx63110.dat,   125.405797101,       14.75, 0000 
              fx63120.dat,   139.103260870,       15.00, 0000 
              fx63137.dat,   142.355769231,       15.25, 0000 
            fx63137sm.dat,   150.035842294,       14.25, 0000 
              fx63143.dat,   109.036402570,       11.00, 0000 
              fx63145.dat,   119.453044376,        9.50, 0000 
              fx63147.dat,    78.006153846,        1.75, 0000 
              fx63158.dat,   126.175580222,        8.75, 0000 
             fx6617a2.dat,   132.801595214,        1.50, 0000 
             fx6617ai.dat,   126.642105263,        0.75, 0000 
              fx66182.dat,    97.439165701,       11.25, 0000 
             fx66196v.dat,   133.383084577,        0.25, 0000 
             fx66a175.dat,   116.734486267,        0.25, 0000 
              fx66h60.dat,    62.848167539,        8.00, 0000 
              fx66h80.dat,    99.121212121,        6.25, 0000 
             fx66s161.dat,   144.297423888,        1.00, 0000 
             fx66s171.dat,   145.617214043,        1.75, 0000 
             fx66s196.dat,   135.827338129,        0.75, 0000 
             fx67k150.dat,   157.088435374,        0.50, 0000 
             fx67k170.dat,   153.411330049,        0.75, 0000 
             fx68h120.dat,    87.082066869,        8.75, 0000 
              fx69274.dat,     0.000000000,        0.00, 0311 
             fx69h083.dat,   100.586206897,       10.25, 0000 
             fx69h098.dat,    90.131264916,        7.00, 0000 
            fx69pr281.dat,    62.315989848,       25.75, 0000 
             fx71089a.dat,    65.204603581,        5.50, 0000 
              fx71120.dat,    70.878859857,       11.75, 0000 
             fx711520.dat,    55.934219734,        8.25, 0000 
             fx711525.dat,    55.532846715,        8.50, 0000 
             fx711530.dat,    57.671136203,        8.50, 0000 
             fx71l150.dat,    57.671136203,        8.50, 0000 
             fx72150a.dat,   162.258652095,        1.50, 0000 
             fx72150b.dat,   152.974910394,        3.00, 0000 
            fx72ls160.dat,   170.632911392,        2.75, 0000 
              fx73170.dat,   149.926380368,        0.75, 0000 
             fx73170a.dat,   151.886574074,        1.50, 0000 
           fx73cl1152.dat,   137.850133809,        6.75, 0000 
           fx73cl2152.dat,   134.853420195,        7.00, 0000 
           fx73cl3152.dat,   128.075601375,       10.00, 0000 
             fx73k170.dat,   148.417945691,        1.50, 0000 
              fx74080.dat,   167.221095335,        5.50, 0000 
           fx74130wp1.dat,   138.094512195,        0.50, 0000 
           fx74130wp2.dat,   150.783132530,        0.50, 0000 
        fx74130wp2mod.dat,   134.956395349,       12.00, 0000 
           fx74cl5140.dat,   151.026819923,        2.25, 0000 
           fx74cl6140.dat,   158.263525305,        2.75, 0000 
            fx74modsm.dat,   152.513711152,        5.00, 0000 
              fx75141.dat,   132.119487909,       14.00, 0000 
              fx75193.dat,   121.441241685,        1.75, 0000 
            fx75vg166.dat,   101.334120425,        1.25, 0000 
              fx76100.dat,     0.000000000,        0.00, 0077 
              fx76120.dat,    76.370078740,        7.25, 0000 
            fx76mp120.dat,   190.520231214,        8.25, 0000 
            fx76mp140.dat,   179.269972452,        8.00, 0000 
            fx76mp160.dat,   151.191135734,       15.00, 0000 
              fx77080.dat,    58.765792031,        7.00, 0000 
             fx77w121.dat,   144.560975610,        2.75, 0000 
             fx77w153.dat,   134.836223507,        4.50, 0000 
             fx77w258.dat,   113.850847458,        4.25, 0000 
             fx77w270.dat,   107.290286976,        3.00, 0000 
            fx77w270s.dat,   103.722772277,        4.50, 0000 
             fx77w343.dat,    86.760635572,        2.75, 0000 
             fx78k140.dat,   151.805766313,        0.25, 0000 
          fx78k140a20.dat,   140.692194404,        0.25, 0000 
